date,temp,humidity,wind,radiation
20250913,27.6,68.24,0.21,15.12
20250914,27.86,64.48,0.25,25.68
20250915,28.75,59.31,0.31,10.96
20250916,27.04,69.69,0.24,15.62
20250917,28.25,64.82,0.23,25.01
20250918,29.94,54.12,0.29,24.55
20250919,29.91,53.5,0.23,24.38
20250920,30.24,51.12,0.24,23.44
20250921,29.75,55.99,0.27,20.4
20250922,30.17,52.28,0.3,23.78
20250923,28.88,56.49,0.18,12.22
20250924,26.15,70.51,0.28,19.74
20250925,27.23,66.93,0.26,22.08
20250926,27.36,68.78,0.25,22.59
20250927,27.14,72.45,0.27,23.65
20250928,29.18,58.99,0.32,22.8
20250929,29.27,53.78,0.32,22.88
20250930,29.56,49.01,0.35,23.66
20251001,30.14,51.09,0.3,22.67
20251002,29.53,56.93,0.27,20.03
20251003,29.68,51.58,0.34,25.13
20251004,29.67,48.23,0.32,25.01
20251005,28.36,58.66,0.36,21.98
20251006,27.13,65.42,0.36,17.76
20251007,27.95,56.36,0.29,24.18
20251008,28.29,54.67,0.31,24.4
20251009,29.33,54.14,0.33,22.95
20251010,28.41,61.03,0.29,13.07
20251011,29.28,55.39,0.32,23.99
20251012,28.79,54.43,0.41,16.25
20251013,28.21,54.15,0.38,22.63
20251014,28.56,49.26,0.37,22.73
20251015,27.54,44.94,0.41,24.06
20251016,27.77,39.11,0.39,23.48
20251017,27.54,44.44,0.44,23.68
20251018,26.71,43.93,0.45,24.08
20251019,27.85,36.09,0.49,23.58
20251020,27.98,34.39,0.4,24.28
20251021,27.7,31.75,0.55,24.12
20251022,27.27,32.59,0.53,24.34
20251023,27.01,37.57,0.52,20.91
20251024,26.15,31.08,0.47,24.41
20251025,26.6,30.79,0.5,24.12
20251026,25.56,33.02,0.49,24.44
20251027,26.17,31.91,0.54,23.51
20251028,26.54,31.66,0.51,16.31
20251029,26.57,30.72,0.49,23.39
20251030,25.74,28.46,0.5,22.95
20251031,24.74,31.22,0.51,23.11
20251101,24.7,30.79,0.43,23.8
20251102,24.18,29.93,0.46,24.42
20251103,25.04,28.19,0.5,23.79
20251104,25.91,30.95,0.51,22.84
20251105,26.32,31.26,0.54,22.09
20251106,26.34,32.58,0.54,21.68
20251107,26.64,31.44,0.62,21.56
20251108,26.3,24.61,0.57,20.91
20251109,25.88,30.39,0.51,22.8
20251110,26.53,35.85,0.63,22.39
20251111,26.32,30.34,0.71,23.18
20251112,24.69,23.64,0.76,23.2
20251113,24.24,29.56,0.57,20.78
